Image Name,Index class,Index prefix,Index name,2022
page_1.png,Sustainability,Driving,Sustainability Report,N/A
page_2.png,,,,
page_3.png,Group Overview,Letter to Stakeholders,0,4
page_4.png,Climate Change,COP27,United Nations Climate Change Conference,
page_5.png,Environmental,Reduction in Scope 1 and 2 emissions (%),End of 2022,17.60%
page_6.png,,,,
page_7.png,,,,
page_8.png,Carbon Emissions Reduction,Reduction in Scope 1 and 2 carbon emissions from 2020 baseline,17.60%,N/A
page_9.png,Sustainability,Dow Jones Sustainability Indices,"DJ Sustainability World Index, DJSI Asia Pacific",Top 10% of largest companies globally
page_10.png,Revenue,Total FY 2022 Revenue,Total Revenue,$6.6b
page_11.png,Region,Europe,Revenue,$13m
page_12.png,,,,
page_13.png,Environmental,Material ESG factors,Climate Action and Environmental Management,N/A
page_14.png,,,,
page_15.png,Group Structure,Keppel Group's Sustainability Management Structure,Committee hierarchy,
page_16.png,,,,
page_17.png,,,,
page_18.png,Environmental,Relevant ESG Topics,18 topics listed,Not applicable
page_19.png,Environmental,Climate Action and Environmental Management,Climate Action,
page_20.png,Environmental,Reduction in absolute Scope 1 and Scope 2 carbon emissions compared to 2020 baseline,Group,N/A
page_21.png,Economic Contribution to Society,Net profit,,927 million
page_22.png,People and Community,Employee Engagement Survey score,Global,84%
page_23.png,Community Development,Social investment spending and industry advancement,Group investment,Around $4.3 million
page_24.png,,,,
page_25.png,Strategy,Group investment in green building,Green Mark-certified properties in Singapore,92
page_26.png,,,,
page_27.png,Environmental,Absolute reduction of Scope 1 and 2 emissions,2022 compared to 2020 baseline,17.60%
page_28.png,Economic,Scenario planning,Potential global warming trajectories,Unavailable
page_29.png,,,,
page_30.png,Environmental,Scope 1 and 2 carbon emissions reduction by 2030,Keppel Group,
page_31.png,Energy,Annual energy yield (kWh),Keppel Bay Tower,"100,000"
page_32.png,Environmental,Renewable energy assets,Portfolio increase,2.6 GW
page_33.png,Environmental,CO2 emissions Scope 1 production facilities (t CO2 eq),Scope 1 and 2 emissions,100%
page_34.png,Climate Change Mitigation and Adaptation,Renewable Energy,Renewables portfolio,1.1 GW to 2.6 GW
page_35.png,,,,
page_36.png,Energy,Energy consumption,Total energy consumption,"203,371 gigajoules"
page_37.png,Energy Efficiency,Energy savings,,"1,125,595 GJ"
page_38.png,Environmental,Water withdrawal (m鲁),Total water discharged,"38,688,211"
page_39.png,Waste Management,"Waste recycled including ferrous scrap, grits and paper (tonnes)",Keppel Q&M,84199
page_40.png,Environmental Stewardship,Scope 1 and Scope 2 emissions (t CO2e),Total direct emissions,"172,282"
page_41.png,Energy,Total energy consumption,,
page_42.png,Environmental,Avoided emissions (tCO2e),Keppel DHCS in Singapore,4323
page_43.png,Compliance,GRI,2月27日,
page_44.png,,,,
page_45.png,,,,
page_46.png,,,,
page_47.png,,,,
page_48.png,,,,
page_49.png,Other Aspects of Diversity,Race or Ethnicity (%),Chinese,63.6
page_50.png,Corporate Governance,SIAS Investors?Choice Awards,Outstanding CEO Award,N/A
page_51.png,,,,
page_52.png,,,,
page_53.png,,,,
page_54.png,,,,
page_55.png,,,,
page_56.png,,,,
page_57.png,,,,
page_58.png,,,,
page_59.png,,,,
page_60.png,,,,
page_61.png,,,,
page_62.png,,,,
page_63.png,,,,
page_64.png,,,,
page_65.png,Financial Performance,Net Profit,,$927m
page_66.png,Financial,Total Equity,($b),11.6
page_67.png,Economic Value Generated by Keppel,Financials (USD),,"$10,621m"
page_68.png,Supply Chain Management,Performance Overview,2022 Targets,Screen 100% of new suppliers in accordance with ESG criteria.
page_69.png,Supply Chain,Total number of suppliers,Globally,2500
page_70.png,Responsible Business,Percentage of suppliers endorsing the SCOC,Compliance Team Conduct,98.30%
page_71.png,Supplier Selection and Assessment Process,Keppel conducts,monthly safety walkabouts at its Singapore worksites,Not specified
page_72.png,Human Capital Management,Achieved overall engagement score,Global Employee Engagement Survey,84%
page_73.png,Report,Total workforce across around 20 countries,End-2022,"19,163"
page_74.png,Human Capital Management,Distribution by Region,Total,"19,163"
page_75.png,Employee Demographics,By Gender,Overall,"82 Male, 18 Female"
page_76.png,By Region,No. of Employees,Total,"7,600"
page_77.png,Turnover,By Total Turnover & Turnover Rate,Employee Turnover,"2,300"
page_78.png,Human Capital Management,Female Representation,Senior management and managerial positions,31%
page_79.png,Training & Talent Development,Training Hours per Employee (hrs),Global,
page_80.png,Training & Talent Development,Global average number of training hours per employee,Full-time employee,24.2 hours
page_81.png,Employee Engagement,Keppel Global Employee Engagement Survey,Engagement score,84%
page_82.png,,,,
page_83.png,Management Approach,GRI 3:3,Keppel HSE Framework,N/A
page_84.png,HSE Management Systems,GRI 403-1 | 403-8,HSE Certifications and Coverage,N/A
page_85.png,,,,
page_86.png,Health and Safety Training,Invested on HSE related infrastructure,Training and developments,27 million
page_87.png,Safety,AFR (reportable accidents per million man-hours),Total,0.18
page_88.png,Health and Safety,Total Accident Frequency Rate (AFR),Per million man-hours,0.23
page_89.png,Community Development,2022 Performance,Volunteer community service hours globally,14000
page_90.png,Social Investment Spending and Industry Advancement,By Project Type in 2022 (%),Care for the Underprivileged/Healthcare,36
page_91.png,Donations & Sponsorships,Invested in worthy causes,2022,$4.3m
page_92.png,Community Development,SPD Sheltered Workshop,Support for persons with disabilities,"$500,000 "
page_93.png,Environmental,Pledged to support environmental initiatives,Supporting the OneMillionTrees Movement,
page_94.png,Scholarships and Bursaries,Funding and support,Keppel Care Foundation,N/A
page_95.png,Scholarships and Bursaries,School,Institute of Technical Education,N/A
page_96.png,Community Development,Visitors,Keppel Centre,"280,000"
page_97.png,Environmental,GRI 2-3,Sustainability Report Introduction,N/A
page_98.png,General Disclosures,GRI 2: General Disclosures 2021,Organisational details,2月1日
page_99.png,Energy,Energy consumption within the organisation,,"36, 37, 41"
page_100.png,GRI 3: Material Topics 2021,3月3日,Management of material topics,
page_101.png,People and Community,GRI 3: Material Topics 2021,Management of material topics,72-81
page_102.png,,,,
page_103.png,,,,
page_104.png,,,,
page_105.png,,,,
page_106.png,Scope 1,Tonnes of CO2e Emission (tCO2e),"Diesel consumption in the generating sets owned or operated by Keppel; Fuel (diesel) consumption in owned and leased vehicles of Keppel; Liquefied petroleum gas; Naphtha; Piped natural gas; Compressed natural gas; Acetylene; Refrigerant usage ?R123, R134A, R22, R407C, R410A","29,420"
page_107.png,,,,
